,N,t_train,t_pred,t_add,tree_height,num_leaves,mse,nll
0,1,0.0009970664978027344,4.409323598219052e-07,0.0,0,1,599.7582375247015,1338419.961203713
1,1001,0.028000831604003906,1.1013877287316146e-05,0.0019981861114501953,13,25,465.59708841210926,1038739.3813619495
2,2001,0.05200505256652832,2.1801447166327977e-05,0.001001119613647461,15,48,427.9888490534945,945345.722928433
3,3001,0.07100105285644531,2.202721868211914e-05,0.002010345458984375,18,71,401.7255191507754,881873.5880049847
4,4001,0.10400032997131348,3.1468465800337853e-05,0.0020012855529785156,21,91,370.8851709997933,821033.7802376256
5,5001,0.1170034408569336,3.0120428183502658e-05,0.0019903182983398438,21,105,355.52808323064636,773009.3687494564
6,6001,0.16900324821472168,3.686136651719707e-05,0.0020020008087158203,27,127,342.5944101222416,768500.5179735601
7,7001,0.17400050163269043,4.787610123253426e-05,0.0019996166229248047,22,152,332.4424041125706,740609.5021963567
8,8001,0.20101451873779297,5.146792080193912e-05,0.003002166748046875,20,169,312.4837986448522,691893.8673938406
9,9001,0.23800134658813477,5.888976416284514e-05,0.0029981136322021484,26,197,306.0262807973565,679923.1977373728
10,10001,0.2669990062713623,6.0462769456701776e-05,0.0020041465759277344,22,199,287.29745127828124,638916.0670462628
11,11001,0.28600192070007324,6.383374772143648e-05,0.004007816314697266,30,225,281.2880274608805,639215.7170737474
12,12001,0.31801629066467285,6.742781803939659e-05,0.0039980411529541016,29,242,270.6146251300754,617226.2287968226
13,13001,0.36699986457824707,7.147664674401792e-05,0.0020008087158203125,31,273,255.58778633753835,582768.5781165061
14,14001,0.36100053787231445,7.664677694315963e-05,0.0009992122650146484,33,279,251.3128787332669,573989.0005193898
15,15001,0.46200060844421387,7.70956405121762e-05,0.0020012855529785156,28,291,237.67523809965235,560205.0288571313
16,16001,0.41499948501586914,7.956840933561593e-05,0.0020017623901367188,28,307,223.82527227075636,529617.1423604246
17,17001,0.4530017375946045,8.631149123936296e-05,0.002001523971557617,32,325,225.87369030211218,533387.5129566576
18,18001,0.47001194953918457,9.642297912378154e-05,0.0030031204223632812,31,372,225.17237916508276,524338.0397552116
19,19001,0.5470249652862549,0.0001094580822029551,0.0030059814453125,28,383,211.8885545500621,506190.41553085623
20,20001,0.51399827003479,0.00010294709534665444,0.0019881725311279297,31,397,200.83842804540882,487810.78001554264
21,21001,0.5630009174346924,0.00011148536358021114,0.0020062923431396484,31,424,203.8136845033185,501129.3783702287
22,22001,0.5510332584381104,0.00010968101348842656,0.004008769989013672,33,421,190.3668869029229,460215.95183638507
23,23001,0.6219987869262695,0.00011305933348059145,0.004004716873168945,32,448,185.3666230810647,453193.0031114033
24,24001,0.6159958839416504,0.00012632020807555619,0.003015756607055664,32,472,179.55314858411808,443914.76964071754
25,25001,0.6540017127990723,0.00012542114120624016,0.0019991397857666016,32,489,183.40989890728585,444549.1430010721
26,26001,0.7700009346008301,0.00013935707960002313,0.004000186920166016,32,500,170.08366565676195,416822.88994704944
27,27001,0.695002555847168,0.00016565493289795745,0.004001617431640625,31,521,159.36090519973024,402466.76463255053
28,28001,0.6989972591400146,0.00014699949631934275,0.0029993057250976562,28,541,154.2497790001454,385297.37086886156
29,29001,0.8680019378662109,0.0001723983899264637,0.002997875213623047,34,554,145.6763460404885,380166.45772468916
30,30001,0.960986852645874,0.0001535175033675657,0.005000114440917969,35,575,145.17339738158464,381700.48011980753
31,31001,0.7989988327026367,0.00016071030626835033,0.004000186920166016,32,617,132.81227676380433,352179.4041661696
32,32001,0.780001163482666,0.00016205946925946314,0.0020029544830322266,35,609,131.2471194240974,353719.5898367027
33,33001,0.8070032596588135,0.0001629568748619884,0.002002716064453125,34,622,119.81615127135228,331529.33516063815
34,34001,0.8670034408569336,0.0001667782707840278,0.0040013790130615234,33,646,127.79985453718086,342314.99509360903
35,35001,0.8859972953796387,0.00017621898200973336,0.003004789352416992,34,684,113.36364319527331,321148.3929224734
36,36001,0.9090008735656738,0.00017936660027498608,0.0019986629486083984,35,703,114.82534477804647,325620.2656481861
37,37001,0.9660029411315918,0.00018318788901852285,0.0019943714141845703,37,706,109.57097585385465,314445.5186336952
38,38001,0.9600002765655518,0.00018386204180006875,0.0030002593994140625,35,723,106.05737899182127,310615.5990910132
39,39001,1.165008544921875,0.00020880960673261262,0.0030002593994140625,34,763,98.88187247155156,298250.7559466647
40,40001,1.0250084400177002,0.00020071977335406197,0.0020017623901367188,35,770,91.77820869319068,286139.4428508319
41,41001,1.0329997539520264,0.00019937103907695966,0.002000570297241211,33,802,88.82899295091929,281451.2731874454
42,42001,1.0650196075439453,0.000212177637588525,0.0030143260955810547,35,810,85.67106556117302,268932.9918612477
43,43001,1.0639986991882324,0.0002063382848189584,0.001999378204345703,36,843,78.5615516342957,262608.27045988664
44,44001,1.1040043830871582,0.0002081363649683391,0.003000974655151367,36,859,75.38990839596715,257071.1705559782
